Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0276151188897254,0.000187017385630484,0.489043981822305,0,0,0,39.5366926956898,1.30491356736098,0.000132576890699974,0.00567779952783923,1.4947854742222,-0.000272754432547039,0.693294810859899,0,0,0,0,0,0,package://r2_urdf_v01/meshes/base_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://r2_urdf_v01/meshes/base_link.STL,,R2-01-1,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_left_Link,-2.33999700781744E-05,-0.036977949950508,5.28555548442999E-06,0,0,0,1.14125095338992,0.00208401882261829,9.14573075894127E-07,2.19196564421558E-10,0.00352927810161056,3.4638675005463E-07,0.00208405084985212,0,0,0,0,0,0,package://r2_urdf_v01/meshes/wheel_left_Link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://r2_urdf_v01/meshes/wheel_left_Link.STL,,wheel01-1,wheel_left_cs,wheel_left_axis,wheel_left_joint,continuous,-0.0059684,0.22932,0.085025,0,0,0,base_link,0.00063281,1,0,,,,,,,,,,,,
wheel_right_Link,4.13571766367041E-06,0.0369779571230611,5.28572215868772E-06,0,0,0,1.14125095338992,0.00208401826194694,1.61641948506205E-07,-3.87401373350276E-11,0.00352927866228504,-3.46380303032584E-07,0.00208405084984899,0,0,0,0,0,0,package://r2_urdf_v01/meshes/wheel_right_Link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://r2_urdf_v01/meshes/wheel_right_Link.STL,,wheel02-1,wheel_right_cs,wheel_right_axis,wheel_right_joint,continuous,-0.0060277,-0.22904,0.085025,0,0,0,base_link,-0.00011184,-1,0,,,,,,,,,,,,
lift_Link,0.0600484000783708,0.00111672895281038,-1.89509674930477E-06,0,0,0,1.78213868999787,0.00739434170630959,4.20469039490008E-07,1.82855256933549E-07,0.00637674789374243,4.26635502834785E-09,0.00563219001994373,0,0,0,0,0,0,package://r2_urdf_v01/meshes/lift_Link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://r2_urdf_v01/meshes/lift_Link.STL,,R2-03-1,lift_cs,lift_axis,lift_joint,prismatic,-0.0129,0.00010147,0.8945,0,0,0,base_link,0,0,-1,300,0.2,0,0.6,,,,,,,,
waist_Link,0.000166593253817793,-0.0849279058766438,0.292847214134258,0,0,0,3.64006317395881,0.0248924163336287,1.25004632712697E-05,-2.40470904572309E-05,0.020091709326814,-5.53908301722954E-06,0.0115379339328479,0,0,0,0,0,0,package://r2_urdf_v01/meshes/waist_Link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://r2_urdf_v01/meshes/waist_Link.STL,,R2-02-1;R2-J1-L-1;R2-J1R-1,waist_cs,waist_axis,waist_joint,revolute,0.155,0.0855,0,0,0,0,lift_Link,0,-1,0,100,20,0,1.57,,,,,,,,
head_Link,0.0065640883008444,0.0189209792945832,0.0861078670562299,0,0,0,0.442122686503445,0.00221002060254981,-1.67267294641375E-07,2.90105985524937E-05,0.000834852839288346,4.23564730393185E-07,0.00190348138829919,0,0,0,0,0,0,package://r2_urdf_v01/meshes/head_Link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://r2_urdf_v01/meshes/head_Link.STL,,R2-04-1,head_cs,head_axis,head_joint,revolute,0,-0.1041,0.5046,0,0,0,waist_Link,0.00033351,1,0,1,10,0,0.87,,,,,,,,
J1_left_Link,0.00422354169880651,0.063979391971224,-1.79062275742492E-05,0,0,0,0.485769853867971,0.000431654065222221,-1.68912488776374E-05,2.39359126166879E-07,0.000369211265530422,3.28824275762712E-07,0.000464844930925299,0,0,0,0,0,0,package://r2_urdf_v01/meshes/J1_left_Link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://r2_urdf_v01/meshes/J1_left_Link.STL,,R2-J2-L-1,J1_left_cs,J1_left_axis,J1_left_joint,revolute,4.2856E-05,0.043,0.39489,0,0,0,waist_Link,0.00033351,1,0,30,20,-3.05,3.05,,,,,,,,
J2_left_Link,-0.0385045175589416,3.35080994978698E-06,-0.0873612164395261,0,0,0,0.582572839747747,0.00115089717235703,-5.55376506400703E-09,-1.89502144925849E-05,0.000979092700001145,2.00475857571603E-07,0.000583874785197157,0,0,0,0,0,0,package://r2_urdf_v01/meshes/J2_left_Link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://r2_urdf_v01/meshes/J2_left_Link.STL,,R2-J3L-1,J2_left_cs,J2_left_axis,J2_left_joint,revolute,0.042025,0.074986,0,0,0,0,J1_left_Link,1,-0.00033351,0,30,20,0,3.14,,,,,,,,
J3_left_Link,7.46617992380405E-05,-0.00333557084583767,-0.0712731566262226,0,0,0,0.478348919303372,0.000578757184629674,1.22887874842637E-06,9.2447424699779E-07,0.000469158421847915,-3.44369919313138E-05,0.000399941112127043,0,0,0,0,0,0,package://r2_urdf_v01/meshes/J3_left_Link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://r2_urdf_v01/meshes/J3_left_Link.STL,,R2-J4L-1,J3_left_cs,J3_left_axis,J3_left_joint,revolute,-0.042,1.4007E-05,-0.1555,0,0,0,J2_left_Link,0,0,-1,15,20,-2.7,2.7,,,,,,,,
J4_left_Link,-1.89768963354542E-05,-0.0302944016720729,-0.0849024358558568,0,0,0,0.330819827522533,0.00036936272754319,3.78749528813598E-08,-9.76764412086549E-09,0.000436010161343624,-4.95054206588175E-05,0.000213607126856169,0,0,0,0,0,0,package://r2_urdf_v01/meshes/J4_left_Link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://r2_urdf_v01/meshes/J4_left_Link.STL,,R2-J5L-1,J4_left_cs,J4_left_axis,J4_left_joint,revolute,1.3007E-05,0.039,-0.0815,0,0,0,J3_left_Link,-0.00033351,-1,0,15,20,-1.65,1.65,,,,,,,,
